rosbagTimestamp;x;y;theta;linear_velocity;angular_velocity
1614354678605531900;5.544444561;5.544444561;0.0;0.0;0.0
1614354678621845260;5.544444561;5.544444561;0.0;0.0;0.0
1614354678638865725;5.544444561;5.544444561;0.0;0.0;0.0
1614354678650130411;5.544444561;5.544444561;0.0;0.0;0.0
1614354678654524238;5.544444561;5.544444561;0.0;0.0;0.0
1614354678666303811;5.544444561;5.544444561;0.0;0.0;0.0
1614354678670741115;5.544444561;5.544444561;0.0;0.0;0.0
1614354678681883645;5.544444561;5.544444561;0.0;0.0;0.0
1614354678687678102;5.544444561;5.544444561;0.0;0.0;0.0
1614354678697444394;5.544444561;5.544444561;0.0;0.0;0.0
1614354678706562593;5.544444561;5.544444561;0.0;0.0;0.0
1614354678714198681;5.544444561;5.544444561;0.0;0.0;0.0
1614354678716982159;5.544444561;5.544444561;0.0;0.0;0.0
1614354678730686312;5.544444561;5.544444561;0.0;0.0;0.0
1614354678736834187;5.544444561;5.544444561;0.0;0.0;0.0
1614354678745414445;5.544444561;5.544444561;0.0;0.0;0.0
1614354678753186994;5.544444561;5.544444561;0.0;0.0;0.0
1614354678762113028;5.544444561;5.544444561;0.0;0.0;0.0
1614354678765282340;5.544444561;5.544444561;0.0;0.0;0.0
1614354678776905806;5.544444561;5.544444561;0.0;0.0;0.0
1614354678782328633;5.544444561;5.544444561;0.0;0.0;0.0
1614354678792449595;5.544444561;5.544444561;0.0;0.0;0.0
1614354678798050044;5.544444561;5.544444561;0.0;0.0;0.0
1614354678808463527;5.544444561;5.544444561;0.0;0.0;0.0
1614354678818073557;5.544444561;5.544444561;0.0;0.0;0.0
1614354678826271088;5.544444561;5.544444561;0.0;0.0;0.0
1614354678830606090;5.544444561;5.544444561;0.0;0.0;0.0
1614354678840735969;5.544444561;5.544444561;0.0;0.0;0.0
1614354678845961881;5.544444561;5.544444561;0.0;0.0;0.0
1614354678859661386;5.544444561;5.544444561;0.0;0.0;0.0
1614354678863103503;5.544444561;5.544444561;0.0;0.0;0.0
1614354678872829906;5.544444561;5.544444561;0.0;0.0;0.0
1614354678878217970;5.544444561;5.544444561;0.0;0.0;0.0
1614354678889711979;5.544444561;5.544444561;0.0;0.0;0.0
1614354678894366514;5.544444561;5.544444561;0.0;0.0;0.0
1614354678907971736;5.544444561;5.544444561;0.0;0.0;0.0
1614354678909870420;5.544444561;5.544444561;0.0;0.0;0.0
1614354678922229435;5.544444561;5.544444561;0.0;0.0;0.0
1614354678926592180;5.544444561;5.544444561;0.0;0.0;0.0
1614354678936714403;5.544444561;5.544444561;0.0;0.0;0.0
1614354678943345636;5.544444561;5.544444561;0.0;0.0;0.0
1614354678954655475;5.544444561;5.544444561;0.0;0.0;0.0
1614354678959475532;5.544444561;5.544444561;0.0;0.0;0.0
1614354678970920384;5.544444561;5.544444561;0.0;0.0;0.0
1614354678974992550;5.544444561;5.544444561;0.0;0.0;0.0
1614354678984491967;5.544444561;5.544444561;0.0;0.0;0.0
1614354678990707859;5.544444561;5.544444561;0.0;0.0;0.0
1614354679002771108;5.544444561;5.544444561;0.0;0.0;0.0
1614354679005440595;5.544444561;5.544444561;0.0;0.0;0.0
1614354679016981559;5.544444561;5.544444561;0.0;0.0;0.0
1614354679022849133;5.544444561;5.544444561;0.0;0.0;0.0
1614354679032420135;5.544444561;5.544444561;0.0;0.0;0.0
1614354679038777464;5.544444561;5.544444561;0.0;0.0;0.0
1614354679050064381;5.544444561;5.544444561;0.0;0.0;0.0
1614354679055770821;5.544444561;5.544444561;0.0;0.0;0.0
1614354679064141209;5.544444561;5.544444561;0.0;0.0;0.0
1614354679070646894;5.544444561;5.544444561;0.0;0.0;0.0
1614354679084022815;5.544444561;5.544444561;0.0;0.0;0.0
1614354679086317009;5.544444561;5.544444561;0.0;0.0;0.0
1614354679096683725;5.544444561;5.544444561;0.0;0.0;0.0
1614354679103227576;5.544444561;5.544444561;0.0;0.0;0.0
1614354679115363474;5.544444561;5.544444561;0.0;0.0;0.0
1614354679117863970;5.544444561;5.544444561;0.0;0.0;0.0
1614354679128667449;5.544444561;5.544444561;0.0;0.0;0.0
1614354679138277691;5.544444561;5.544444561;0.0;0.0;0.0
1614354679147137383;5.544444561;5.544444561;0.0;0.0;0.0
1614354679149443206;5.544444561;5.544444561;0.0;0.0;0.0
1614354679166050254;5.544444561;5.544444561;0.0;0.0;0.0
1614354679187428502;5.544444561;5.544444561;0.0;0.0;0.0
1614354679190070133;5.544444561;5.544444561;0.0;0.0;0.0
1614354679190087926;5.544444561;5.544444561;0.0;0.0;0.0
1614354679195032304;5.544444561;5.544444561;0.0;0.0;0.0
1614354679199450382;5.544444561;5.544444561;0.0;0.0;0.0
1614354679209911055;5.544444561;5.544444561;0.0;0.0;0.0
1614354679213162642;5.544444561;5.544444561;0.0;0.0;0.0
1614354679224782123;5.544444561;5.544444561;0.0;0.0;0.0
1614354679234555729;5.544444561;5.544444561;0.0;0.0;0.0
1614354679244742701;5.544444561;5.544444561;0.0;0.0;0.0
1614354679245817390;5.544444561;5.544444561;0.0;0.0;0.0
1614354679259664863;5.544444561;5.544444561;0.0;0.0;0.0
1614354679262013722;5.544444561;5.544444561;0.0;0.0;0.0
1614354679272746619;5.544444561;5.544444561;0.0;0.0;0.0
1614354679277407586;5.544444561;5.544444561;0.0;0.0;0.0
1614354679294641814;5.544444561;5.544444561;0.0;0.0;0.0
1614354679297933817;5.544444561;5.544444561;0.0;0.0;0.0
1614354679304970497;5.544444561;5.544444561;0.0;0.0;0.0
1614354679309970540;5.544444561;5.544444561;0.0;0.0;0.0
1614354679322494022;5.544444561;5.544444561;0.0;0.0;0.0
1614354679328110582;5.544444561;5.544444561;0.0;0.0;0.0
1614354679336914207;5.544444561;5.544444561;0.0;0.0;0.0
1614354679340816973;5.544444561;5.544444561;0.0;0.0;0.0
1614354679353026977;5.544444561;5.544444561;0.0;0.0;0.0
1614354679357183854;5.544444561;5.544444561;0.0;0.0;0.0
1614354679370556532;5.544444561;5.544444561;0.0;0.0;0.0
1614354679374594199;5.544444561;5.544444561;0.0;0.0;0.0
1614354679384350617;5.544444561;5.544444561;0.0;0.0;0.0
1614354679390883196;5.544444561;5.544444561;0.0;0.0;0.0
1614354679400753275;5.544444561;5.544444561;0.0;0.0;0.0
1614354679405951095;5.544444561;5.544444561;0.0;0.0;0.0
1614354679424220858;5.544444561;5.544444561;0.0;0.0;0.0
1614354679427733847;5.544444561;5.544444561;0.0;0.0;0.0
1614354679447020468;5.544444561;5.544444561;0.0;0.0;0.0
1614354679447454217;5.544444561;5.544444561;0.0;0.0;0.0
1614354679449747621;5.544444561;5.544444561;0.0;0.0;0.0
1614354679454361978;5.544444561;5.544444561;0.0;0.0;0.0
1614354679467700022;5.544444561;5.544444561;0.0;0.0;0.0
1614354679470428118;5.544444561;5.544444561;0.0;0.0;0.0
1614354679481229603;5.544444561;5.544444561;0.0;0.0;0.0
1614354679488844826;5.544444561;5.544444561;0.0;0.0;0.0
1614354679501115286;5.544444561;5.544444561;0.0;0.0;0.0
1614354679502872542;5.544444561;5.544444561;0.0;0.0;0.0
1614354679512321576;5.544444561;5.544444561;0.0;0.0;0.0
1614354679518356045;5.544444561;5.544444561;0.0;0.0;0.0
1614354679532891122;5.544444561;5.544444561;0.0;0.0;0.0
1614354679535133840;5.544444561;5.544444561;0.0;0.0;0.0
1614354679546067656;5.544444561;5.544444561;0.0;0.0;0.0
1614354679549758142;5.544444561;5.544444561;0.0;0.0;0.0
1614354679560472703;5.544444561;5.544444561;0.0;0.0;0.0
1614354679566854863;5.544444561;5.544444561;0.0;0.0;0.0
1614354679579498252;5.544444561;5.544444561;0.0;0.0;0.0
1614354679581120183;5.544444561;5.544444561;0.0;0.0;0.0
1614354679594012429;5.544444561;5.544444561;0.0;0.0;0.0
1614354679598988537;5.544444561;5.544444561;0.0;0.0;0.0
1614354679610478578;5.544444561;5.544444561;0.0;0.0;0.0
1614354679613618769;5.544444561;5.544444561;0.0;0.0;0.0
1614354679627852198;5.544444561;5.544444561;0.0;0.0;0.0
1614354679630714314;5.544444561;5.544444561;0.0;0.0;0.0
1614354679641547506;5.544444561;5.544444561;0.0;0.0;0.0
1614354679650440876;5.544444561;5.544444561;0.0;0.0;0.0
1614354679659074151;5.544444561;5.544444561;0.0;0.0;0.0
1614354679661543286;5.544444561;5.544444561;0.0;0.0;0.0
1614354679678010791;5.544444561;5.544444561;0.0;0.0;0.0
1614354679679705239;5.544444561;5.544444561;0.0;0.0;0.0
1614354679690674451;5.544444561;5.544444561;0.0;0.0;0.0
1614354679694858649;5.544444561;5.544444561;0.0;0.0;0.0
1614354679706654242;5.544444561;5.544444561;0.0;0.0;0.0
1614354679709291729;5.544444561;5.544444561;0.0;0.0;0.0
1614354679721528784;5.544444561;5.544444561;0.0;0.0;0.0
1614354679726958002;5.544444561;5.544444561;0.0;0.0;0.0
1614354679748484455;5.544444561;5.544444561;0.0;0.0;0.0
1614354679749433907;5.544444561;5.544444561;0.0;0.0;0.0
1614354679757150035;5.544444561;5.544444561;0.0;0.0;0.0
1614354679763280295;5.544444561;5.544444561;0.0;0.0;0.0
1614354679776545451;5.544444561;5.544444561;0.0;0.0;0.0
1614354679776641563;5.544444561;5.544444561;0.0;0.0;0.0
1614354679797736686;5.544444561;5.544444561;0.0;0.0;0.0
1614354679797855952;5.544444561;5.544444561;0.0;0.0;0.0
1614354679801632530;5.544444561;5.544444561;0.0;0.0;0.0
1614354679806946153;5.544444561;5.544444561;0.0;0.0;0.0
1614354679818450455;5.544444561;5.544444561;0.0;0.0;0.0
1614354679827345824;5.544444561;5.544444561;0.0;0.0;0.0
1614354679838452622;5.544444561;5.544444561;0.0;0.0;0.0
1614354679840840549;5.544444561;5.544444561;0.0;0.0;0.0
1614354679849456620;5.544444561;5.544444561;0.0;0.0;0.0
1614354679855445654;5.544444561;5.544444561;0.0;0.0;0.0
1614354679876418588;5.544444561;5.544444561;0.0;0.0;0.0
1614354679879666829;5.544444561;5.544444561;0.0;0.0;0.0
1614354679892510519;5.544444561;5.544444561;0.0;0.0;0.0
1614354679893200441;5.544444561;5.544444561;0.0;0.0;0.0
1614354679898741038;5.544444561;5.544444561;0.0;0.0;0.0
1614354679905683506;5.544444561;5.544444561;0.0;0.0;0.0
1614354679913777999;5.544444561;5.544444561;0.0;0.0;0.0
1614354679921263898;5.544444561;5.544444561;0.0;0.0;0.0
1614354679930764921;5.544444561;5.544444561;0.0;0.0;0.0
1614354679942911013;5.544444561;5.544444561;0.0;0.0;0.0
1614354679945933297;5.544444561;5.544444561;0.0;0.0;0.0
1614354679951268006;5.544444561;5.544444561;0.0;0.0;0.0
1614354679960749898;5.544444561;5.544444561;0.0;0.0;0.0
1614354679966548467;5.544444561;5.544444561;0.0;0.0;0.0
1614354679982497218;5.544444561;5.544444561;0.0;0.0;0.0
1614354679986745696;5.544444561;5.544444561;0.0;0.0;0.0
1614354680005545217;5.544444561;5.544444561;0.0;0.0;0.0
1614354680007688843;5.544444561;5.544444561;0.0;0.0;0.0
1614354680013558346;5.544444561;5.544444561;0.0;0.0;0.0
1614354680015998511;5.544444561;5.544444561;0.0;0.0;0.0
1614354680026972307;5.544444561;5.544444561;0.0;0.0;0.0
1614354680030793155;5.544444561;5.544444561;0.0;0.0;0.0
1614354680040540466;5.544444561;5.544444561;0.0;0.0;0.0
1614354680050026789;5.544444561;5.544444561;0.0;0.0;0.0
1614354680062642531;5.544444561;5.544444561;0.0;0.0;0.0
1614354680065373110;5.544444561;5.544444561;0.0;0.0;0.0
1614354680080023074;5.544444561;5.544444561;0.0;0.0;0.0
1614354680080450791;5.544444561;5.544444561;0.0;0.0;0.0
1614354680090676791;5.544444561;5.544444561;0.0;0.0;0.0
1614354680100587566;5.544444561;5.544444561;0.0;0.0;0.0
1614354680110860966;5.544444561;5.544444561;0.0;0.0;0.0
1614354680114301901;5.544444561;5.544444561;0.0;0.0;0.0
1614354680128832084;5.544444561;5.544444561;0.0;0.0;0.0
1614354680131646576;5.544444561;5.544444561;0.0;0.0;0.0
1614354680139550423;5.544444561;5.544444561;0.0;0.0;0.0
1614354680142692998;5.544444561;5.544444561;0.0;0.0;0.0
1614354680158364263;5.544444561;5.544444561;0.0;0.0;0.0
1614354680160885291;5.544444561;5.544444561;0.0;0.0;0.0
1614354680190894718;5.544444561;5.544444561;0.0;0.0;0.0
1614354680190948610;5.544444561;5.544444561;0.0;0.0;0.0
1614354680197253701;5.544444561;5.544444561;0.0;0.0;0.0
1614354680201144530;5.544444561;5.544444561;0.0;0.0;0.0
1614354680203784106;5.544444561;5.544444561;0.0;0.0;0.0
1614354680212097157;5.544444561;5.544444561;0.0;0.0;0.0
1614354680230627119;5.544444561;5.544444561;0.0;0.0;0.0
1614354680231662282;5.544444561;5.544444561;0.0;0.0;0.0
1614354680241139083;5.544444561;5.544444561;0.0;0.0;0.0
1614354680242938534;5.544444561;5.544444561;0.0;0.0;0.0
1614354680249387786;5.544444561;5.544444561;0.0;0.0;0.0
1614354680257388964;5.544444561;5.544444561;0.0;0.0;0.0
1614354680278054321;5.544444561;5.544444561;0.0;0.0;0.0
1614354680284478732;5.544444561;5.544444561;0.0;0.0;0.0
1614354680284567219;5.544444561;5.544444561;0.0;0.0;0.0
1614354680293989471;5.544444561;5.544444561;0.0;0.0;0.0
1614354680298239558;5.544444561;5.544444561;0.0;0.0;0.0
1614354680305461178;5.544444561;5.544444561;0.0;0.0;0.0
1614354680324738452;5.544444561;5.544444561;0.0;0.0;0.0
1614354680332137306;5.544444561;5.544444561;0.0;0.0;0.0
1614354680332145291;5.544444561;5.544444561;0.0;0.0;0.0
1614354680335061616;5.544444561;5.544444561;0.0;0.0;0.0
1614354680350683729;5.544444561;5.544444561;0.0;0.0;0.0
1614354680350774140;5.544444561;5.544444561;0.0;0.0;0.0
1614354680364864418;5.544444561;5.544444561;0.0;0.0;0.0
1614354680367411662;5.544444561;5.544444561;0.0;0.0;0.0
1614354680379892803;5.544444561;5.544444561;0.0;0.0;0.0
1614354680390919720;5.544444561;5.544444561;0.0;0.0;0.0
1614354680394679311;5.544444561;5.544444561;0.0;0.0;0.0
1614354680398637576;5.544444561;5.544444561;0.0;0.0;0.0
1614354680413428001;5.544444561;5.544444561;0.0;0.0;0.0
1614354680417727981;5.544444561;5.544444561;0.0;0.0;0.0
1614354680426952451;5.544444561;5.544444561;0.0;0.0;0.0
1614354680431670432;5.544444561;5.544444561;0.0;0.0;0.0
1614354680443565402;5.544444561;5.544444561;0.0;0.0;0.0
1614354680446615198;5.544444561;5.544444561;0.0;0.0;0.0
1614354680461174823;5.544444561;5.544444561;0.0;0.0;0.0
1614354680463306316;5.544444561;5.544444561;0.0;0.0;0.0
1614354680472761335;5.544444561;5.544444561;0.0;0.0;0.0
1614354680486375564;5.544444561;5.544444561;0.0;0.0;0.0
